"Subject","Activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()","fBodyBodyGyroJerkMag-meanFreq()","angle(tBodyAccMean,gravity)","angle(tBodyAccJerkMean),gravityMean)","angle(tBodyGyroMean,gravityMean)","angle(tBodyGyroJerkMean,gravityMean)","angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)"
1,"STANDING",0.278017199038462,-0.0168005909519231,-0.110730566153846,-0.983095201153846,-0.956956014807692,-0.961415955673077,0.942260230384615,-0.273287213653846,0.0136873454807692,-0.993265885769231,-0.980667331153846,-0.974010097115385,0.0657422999038462,0.0129895376,-0.00104139034607692,-0.982687030769231,-0.973279406153846,-0.987637383461539,-0.0281043934094231,-0.0562242509038462,0.0745122913653846,-0.980551110769231,-0.969401966557692,-0.972583883461538,-0.094476727,-0.0448184835961538,-0.0509274009538462,-0.986627765,-0.989093705,-0.98404245,-0.968516368846154,-0.967677812307692,-0.968516368846154,-0.967677812307692,-0.982910469038462,-0.979527019423077,-0.960974393846154,-0.966107496346154,-0.988631224230769,-0.988474056923077,-0.980616106538462,-0.961227936730769,-0.974796620576923,-0.984228130961538,-0.956891444615385,-0.957541816038462,0.0792795521763461,0.105147071694231,0.221341453980769,-0.982467611923077,-0.973594980961539,-0.985590677884615,-0.9845513925,-0.974874622692308,-0.988291969038462,0.301423013230769,0.0247515144461538,0.123985987975,-0.976764565576923,-0.977754735,-0.970582505769231,-0.981847784230769,-0.965650393653846,-0.97586461,-0.123275149769231,-0.0609178172173077,0.0934598852384615,-0.970109149230769,-0.970861795,0.265517953865385,-0.978689970192308,-0.979411528076923,0.407888190961538,-0.974851155961538,-0.966262622115385,-0.0383637539276923,-0.988838335576923,-0.988485616923077,0.309593762846154,0.000411809815384615,0.0329239874346154,-0.0386977108615385,-0.0754608541615385,-0.742818186153846,0.2704576925,0.012125609
2,"STANDING",0.278104092641509,-0.0195215496679245,-0.105938385283019,-0.975067707735849,-0.936986867698113,-0.925363298867925,0.892568238679245,-0.367543319245283,0.116803082584906,-0.986387112075472,-0.973833174716981,-0.944799409622642,0.0775718058679245,0.00340060765830189,-0.0175024648722642,-0.963916120037736,-0.956267171509434,-0.969972684339623,-0.0299518865066038,-0.0787354729433962,0.100224004332075,-0.962148890566038,-0.961147019811321,-0.948203108245283,-0.108815295396226,-0.0426955070566038,-0.0636148348283019,-0.967926436226415,-0.972982036981132,-0.963419616415094,-0.947595753358491,-0.942204987358491,-0.947595753358491,-0.942204987358491,-0.964912962641509,-0.958375324283019,-0.946929608679245,-0.941913555660377,-0.973689925660377,-0.966330253584906,-0.969739092264151,-0.940162355396226,-0.943487244490566,-0.977734873773585,-0.938568018283019,-0.921191269245283,0.107323104677358,0.0615769775526415,0.0754348365754717,-0.964189430377358,-0.956170105471698,-0.966727000566038,-0.96696590245283,-0.959659462641509,-0.971892255849057,0.329585799584906,-0.0635538569018868,0.0325140269245283,-0.953555862075472,-0.960992414339623,-0.943999167603774,-0.964957902264151,-0.961693173396226,-0.954622805471698,-0.121098727981132,-0.161620817362264,-0.00437735628339623,-0.946424778358491,-0.948544470377358,0.11332569850566,-0.959254918773585,-0.95639115694717,0.303616053392453,-0.950578642830189,-0.946248354150943,-0.067047715445283,-0.967158818301887,-0.967398926981132,0.172091183962264,-0.0192709975830189,0.0224199430324528,-0.0237958593075472,0.088772408509434,-0.622086449811321,0.336216246415094,-0.0583812518584906
3,"STANDING",0.27889505295082,-0.0135973976295082,-0.102836638862656,-0.935478721442623,-0.86137147147541,-0.888351635081967,0.934074080163934,-0.30227730852459,0.0209633131786885,-0.981045463114754,-0.95584021,-0.926121475901639,0.0664806370309836,0.00821376427540984,0.00132954300147541,-0.930165594083607,-0.914251414670492,-0.954248699836066,-0.0213515547327869,-0.0571583681704918,0.0692233932459016,-0.886766667213115,-0.906704309180328,-0.887740414098361,-0.0937084794426229,-0.0530052185737705,-0.0415701378491803,-0.924982662131148,-0.950849183114754,-0.93696734147541,-0.893085352418033,-0.887013227327869,-0.893085352418033,-0.887013227327869,-0.932648766721311,-0.921945164,-0.867173430327869,-0.863685842131148,-0.943718912459016,-0.940857342622951,-0.928179402131148,-0.875921985901639,-0.917584526393443,-0.939019546885246,-0.862439193934426,-0.883191262459016,-0.0868076499,-0.117864365540984,0.00800756714754098,-0.93128390652459,-0.917125651491803,-0.948611029836066,-0.935605488196721,-0.917194442311475,-0.958514658196721,0.054766150144918,-0.260918417860656,-0.116067212213115,-0.882472095901639,-0.916464048803279,-0.888980395114754,-0.889908228196721,-0.902443064918033,-0.898262247213115,-0.276200560014754,-0.308404014567213,-0.223008252952787,-0.898466177491803,-0.898387692131148,0.010601459442459,-0.920003135081967,-0.924096572327869,0.125924946240984,-0.892642989836066,-0.870674232295082,-0.285218579127869,-0.94252823147541,-0.942914996229508,-0.00314422195901639,0.0132353460311475,0.0240768898180328,0.00573004936065574,-0.068548405004918,-0.711057500819672,0.290277187704918,0.00720770151639344
4,"STANDING",0.278365469107143,-0.00941917250339286,-0.094191531375,-0.949158834107143,-0.833150005142857,-0.879989370357143,0.953662173392857,-0.0863047466071429,0.163376596071429,-0.972174384464286,-0.917985793035714,-0.898886308125,0.0698523672535714,-0.00941558956273214,-0.0151967331282143,-0.947160254107143,-0.913249095714286,-0.961939282321429,-0.0432444679321429,-0.0470794645357143,0.0769524571964286,-0.902158476428571,-0.934945138035714,-0.891993179285714,-0.10508316075,-0.0482388637571429,-0.0498679898225,-0.929147703928571,-0.967716904642857,-0.938676045714286,-0.879952223392857,-0.8670301175,-0.879952223392857,-0.8670301175,-0.940421783035714,-0.935445520357143,-0.881361932857143,-0.874512938571429,-0.953965204464286,-0.951626034285714,-0.946317396785714,-0.861186433982143,-0.916490119107143,-0.950823741964286,-0.830703818767857,-0.870967170178571,0.053063942445,-0.0677660720607143,-0.0478591515348214,-0.947411523214286,-0.9129746725,-0.956058613392857,-0.952184005892857,-0.920214574285714,-0.966643626785714,0.261359527803571,-0.137342221019643,0.0564909849589286,-0.892671151607143,-0.943275564642857,-0.894183342321429,-0.906617285357143,-0.930813440357143,-0.901484503571429,-0.275318887651786,-0.363861959821429,-0.204420557225,-0.892054851071429,-0.875948052142857,-0.0907086999928571,-0.931712751785714,-0.939863710535714,0.199787054605357,-0.902754302142857,-0.878865166428571,-0.281890048067857,-0.952618549107143,-0.953654238928571,0.0713659262321429,0.0206052219919643,0.00369109788035714,0.108509312342857,0.0223581735178571,-0.823603524642857,0.143011993571429,-0.0926680387946429
5,"STANDING",0.28209396375,-0.00688459470357143,-0.101229769892857,-0.942074551803571,-0.837745330803571,-0.851807930892857,0.957842527857143,-0.0478640808107143,0.131306089821429,-0.973003846071429,-0.931363151428571,-0.912482174285714,0.0740677358928571,-0.00549565074821429,-0.00717279732839286,-0.939698290535714,-0.904523987321429,-0.953260294821429,-0.0484544375173214,-0.0398650260178571,0.0755903676982143,-0.899898988571429,-0.917000314107143,-0.889533208392857,-0.0918193320892857,-0.0406805300607143,-0.0449745966625,-0.922393866964286,-0.949344857857143,-0.923803849464286,-0.878113982625,-0.860841741428571,-0.878113982625,-0.860841741428571,-0.935631833214286,-0.919243394642857,-0.877533476428571,-0.853992527678571,-0.942850476785714,-0.934390852678571,-0.943523446607143,-0.862550101642857,-0.902977692142857,-0.942262516267857,-0.836547819642857,-0.839484862857143,-0.0275739967178571,-0.00972638429821428,-0.0469416653464286,-0.942498415357143,-0.906113389642857,-0.947092256071429,-0.942410598571429,-0.909704307857143,-0.958243449642857,0.133961229689286,-0.141896082020893,-0.0424333938214286,-0.895823064285714,-0.9254897575,-0.887503946785714,-0.903363254464286,-0.913685280178571,-0.901091905892857,-0.187466830176786,-0.1588667180375,-0.1115415964625,-0.884977105357143,-0.871133348928571,-0.0185536984548214,-0.916506422142857,-0.922234103928571,0.137929232423214,-0.89159525375,-0.857898179107143,-0.159282423535714,-0.939723880535714,-0.932260052142857,-0.0349239814625,-0.00229108710714286,-0.0231428363696429,0.135238735873214,-0.0872431486267857,-0.854743170535714,0.116746019607143,-0.0703582860714286
6,"STANDING",0.284650482807018,-0.0184043995017544,-0.112957513929825,-0.948937699789474,-0.882815497,-0.904671307894737,0.944517173508772,-0.232777621754386,0.0146438972894737,-0.984943647894737,-0.967938444561404,-0.940218434736842,0.0675048434561404,0.00230599323245614,-0.00339677755964912,-0.946924706491228,-0.917396311754386,-0.954284040526316,-0.0362223624087719,-0.0508469380315789,0.0783358745789474,-0.933155133157895,-0.922631491403509,-0.919572554901754,-0.0912371440877193,-0.0398732181052632,-0.0601121746631579,-0.92673591877193,-0.947866261929825,-0.933121019,-0.911155310578947,-0.906469723385965,-0.911155310578947,-0.906469723385965,-0.941410150175439,-0.929851763684211,-0.91426280122807,-0.898079234912281,-0.94448046,-0.936165200175439,-0.947883549807018,-0.893767966070175,-0.924305714736842,-0.949926895302632,-0.884160085021053,-0.901364985263158,0.0493987531631579,-0.0888034253561403,0.0115526795087719,-0.948093672280702,-0.922827819157895,-0.949971142807018,-0.950480604561403,-0.917195578421053,-0.957112462982456,0.178234166333333,-0.259409181559649,-0.0768770730175439,-0.913320349473684,-0.924333724736842,-0.911431145666667,-0.939643881403509,-0.922303421929825,-0.930049246140351,-0.121070249035614,-0.1959587395,-0.0847672743157895,-0.915903016877193,-0.915383027280702,0.0274950445666667,-0.92819250122807,-0.931285389824561,0.199182776947368,-0.90944392,-0.907959752982456,-0.0657204061280702,-0.94030162631579,-0.935323293508772,0.0388379914035088,-0.015877284554386,-0.00808794881578947,0.0703458792807018,0.0155837111578947,-0.758576169473684,0.242669042631579,0.0116185595210526
7,"STANDING",0.280838772641509,-0.0146797567415094,-0.0990124188301887,-0.951008641320755,-0.89405369754717,-0.889527022377358,0.95290589245283,-0.124910958981132,-0.0611315523396226,-0.986578486981132,-0.964786627358491,-0.937070792830189,0.0715155713584906,0.00549013484264151,-0.00176850302245283,-0.95403029245283,-0.939729731811321,-0.957092231698113,-0.0392056532545283,-0.0691473236792453,0.0972239572830189,-0.925699428867925,-0.930619979056604,-0.928001940943396,-0.0832188252735849,-0.0465975462641509,-0.0558450710754717,-0.943254188433962,-0.961407434150943,-0.958639679811321,-0.911468767641509,-0.907946415471698,-0.911468767641509,-0.907946415471698,-0.950434471886792,-0.945916790943396,-0.917256951509434,-0.895477667924528,-0.959162654528302,-0.956202823396226,-0.952933176603774,-0.915167304415094,-0.915749006037736,-0.950615385377358,-0.890321207377359,-0.884542146981132,-0.101694865735849,-0.160506889720755,-0.00150456753396226,-0.956016502264151,-0.94335981109434,-0.952250917358491,-0.956158216981132,-0.940006982509434,-0.960523781509434,0.0795779108776793,-0.184007795466038,-0.106042721290755,-0.913870553207547,-0.937873059245283,-0.933200431377359,-0.930293882075472,-0.927346599245283,-0.933052806415094,-0.186300329754717,-0.293610996433962,-0.188494713354717,-0.920831602641509,-0.91520043490566,-0.031468263027434,-0.944414951509434,-0.94714638509434,0.257421180822642,-0.91739637,-0.899835153018868,-0.178226466058491,-0.95839299509434,-0.956295204339623,0.10107295809434,0.0233694958169811,0.0060005367490566,-0.0425014908867924,-0.0369845298301887,-0.807305928679245,0.169084617358491,0.0649915459811321
8,"STANDING",0.281169771111111,-0.016472226437037,-0.106665625781481,-0.961996445740741,-0.905573780555556,-0.890245445185185,0.954841897037037,-0.0967299858585185,-0.0987316328462963,-0.986469955555556,-0.95754007962963,-0.916490416851852,0.067637553962963,0.0119206389962963,0.00150503608388889,-0.963795485555556,-0.947771135851852,-0.966038107407407,-0.0365520642092593,-0.0196560845666667,0.0707675123148148,-0.950909067222222,-0.940643720555556,-0.94703506287037,-0.0908063503333333,-0.0530146867777778,-0.0556180181037037,-0.961807772962963,-0.969734750185185,-0.974178256851852,-0.920805777925926,-0.910492362444444,-0.920805777925926,-0.910492362444444,-0.959755857222222,-0.95444829762963,-0.91863316962963,-0.925337141027778,-0.970342946296296,-0.968190974444444,-0.961811333333333,-0.918544065740741,-0.921043092555556,-0.962203462222222,-0.904716605,-0.883349297407407,0.00765213200740741,0.0590967176148148,0.0909895043703704,-0.965761866111111,-0.950396523814815,-0.960989987592593,-0.965037334074074,-0.948644173518518,-0.969828518333333,0.248220725083333,-0.0766195491574074,0.0465198453555556,-0.944093790185185,-0.948243721185185,-0.94834830677037,-0.95330561037037,-0.937060455925926,-0.951384644814815,-0.15889843702963,-0.215049427001852,-0.00349700678888889,-0.924314176296296,-0.917945256507407,0.100439497396296,-0.952861723777778,-0.955766646111111,0.298192846496296,-0.941543668888889,-0.927829149462963,-0.113098648094794,-0.969137893703704,-0.968920126481482,0.192057978444444,0.0130488815387037,0.0187324289037037,0.0459201898518519,-0.0655375640740741,-0.834912627407407,0.149961107407407,0.0911101011666667
9,"STANDING",0.279908187111111,-0.0207628990844444,-0.0973241708,-0.946483090888889,-0.904940174888889,-0.896466928666667,0.960263155333333,-0.0189667504962222,0.00669062104444444,-0.988898210222222,-0.972750722222222,-0.932226365555556,0.0703471996444444,0.0227970305866667,-0.00683516141311111,-0.941895393555556,-0.936670579777778,-0.957794208222222,-0.0437147702348889,-0.0585525978737778,0.100417071644444,-0.901056374,-0.926060072,-0.911917691111111,-0.0861694683111111,-0.0418611584244444,-0.0541664450822222,-0.931039981777778,-0.966752700222222,-0.952594849555556,-0.914972140222222,-0.907542676222222,-0.914972140222222,-0.907542676222222,-0.944680919555556,-0.936965460444444,-0.890343705333333,-0.889435933555556,-0.956391786444444,-0.95525316,-0.942698091555556,-0.913027048733333,-0.922681975555556,-0.948223964666667,-0.906643199555556,-0.890861082,-0.111827593591111,-0.0117465859555556,0.00432243421555556,-0.944968676666667,-0.935729984666667,-0.952421634666667,-0.943975784888889,-0.942689562222222,-0.961837588444444,-0.0366902976888889,-0.117521584377778,-0.128162006022222,-0.890417894222222,-0.940397924444444,-0.918239919777778,-0.905722720888889,-0.919280321555556,-0.918766983111111,-0.212285236355556,-0.345940521533333,-0.160374181828889,-0.918539343555556,-0.915773845555556,0.0315961847066667,-0.934266125777778,-0.940523221555556,0.178568438955556,-0.912745222666667,-0.894041922222222,-0.170652809511111,-0.956890692222222,-0.956475135777778,0.0258332813333333,0.0295613916444444,0.02392576744,0.0892633216666667,0.0256616099777778,-0.855389205111111,0.0968851147333333,0.0171614044888889
10,"STANDING",0.274344665681818,-0.0156137242863636,-0.107516038977273,-0.932772772272727,-0.886407202909091,-0.899355012045455,0.952518317272727,-0.0479300984613636,0.0314631390113636,-0.989099773181818,-0.972993857272727,-0.957710978863636,0.0873988407954545,0.0175112148529545,-0.0107954252215909,-0.926936434090909,-0.909987986818182,-0.950998087272727,-0.0306699298104545,-0.0784087564318182,0.0977872951363636,-0.903671434318182,-0.922814674477273,-0.923086633863636,-0.113941278909091,-0.0458414539590909,-0.0479916789090909,-0.931089656590909,-0.956343472727273,-0.942938930909091,-0.905868291590909,-0.895635347272727,-0.905868291590909,-0.895635347272727,-0.931054000681818,-0.914072637954545,-0.887820477,-0.880755803636364,-0.949419736363636,-0.947173429318182,-0.935980995909091,-0.889209189318182,-0.922600539363636,-0.933755589318182,-0.891490726409091,-0.894857975909091,0.138418639745455,-0.00400264026590909,0.0755338604088636,-0.93252218,-0.910522284090909,-0.945608105227273,-0.928688382272727,-0.916234741136364,-0.955171704318182,0.237973438954545,-0.182261792295455,-0.00174231373863636,-0.894006546136364,-0.930840210681818,-0.918038851590909,-0.907359951818182,-0.919482145659091,-0.931892823181818,-0.276158617606818,-0.151984193886364,-0.0964743450386364,-0.903334138613636,-0.907857012272727,0.0877922011340909,-0.916254589477273,-0.912088274545454,0.199605330589773,-0.905101580681818,-0.885965477045455,-0.220302534318182,-0.948310165,-0.949112720909091,0.0330541578886364,0.00572616816590909,-0.00805803896522727,0.05021964625,0.118443234863636,-0.8168682025,0.115947684154545,-0.000184155379545455
